entry,run,subrun,event,label,prediction,probability,kaon_ke,proton_ke,muon_ke
0,1,55,5454,0,0,1,0.634561,-1,-1
1,1,6,598,0,0,1,0.505621,-1,-1
2,1,10,941,1,1,1,-1,1.11707,0.32295
3,1,85,8470,0,0,0.992416,0.546126,-1,-1
4,1,90,8985,1,1,0.984798,-1,0.989343,0.162867
5,1,44,4379,0,0,1,0.539681,-1,-1
6,1,56,5515,1,1,0.999953,-1,1.0045,0.345315
7,1,36,3585,1,1,0.984239,-1,1.00585,0.257971
8,1,27,2652,0,0,1,0.562873,-1,-1
9,1,45,4500,1,1,0.999997,-1,1.13114,0.315469
10,1,89,8887,1,1,0.999972,-1,1.01415,0.349512
11,1,19,1842,1,1,0.999984,-1,1.09681,0.219195
12,1,50,4939,1,1,0.81062,-1,0.994807,0.248333
13,1,60,5923,0,0,1,0.58166,-1,-1
14,1,63,6239,0,0,1,0.52569,-1,-1
15,1,31,3003,0,0,0.99178,0.631341,-1,-1
16,1,62,6137,0,0,1,0.611365,-1,-1
17,1,72,7111,0,0,0.999521,0.53578,-1,-1
18,1,41,4099,0,0,1,0.603298,-1,-1
19,1,16,1574,1,1,0.999985,-1,1.12016,0.305451
20,1,76,7546,1,1,0.999969,-1,1.03276,0.208443
21,1,12,1162,1,1,0.999991,-1,1.06459,0.20392
22,1,25,2404,1,1,0.999791,-1,1.09324,0.244568
23,1,3,230,1,1,0.999499,-1,0.997091,0.303536
24,1,85,8496,1,1,1,-1,1.1173,0.30774
25,1,61,6065,1,1,0.99985,-1,1.10646,0.199512
26,1,38,3716,0,0,0.999992,0.627971,-1,-1
27,1,82,8114,1,1,0.999986,-1,1.07012,0.194985
28,1,1,57,1,1,1,-1,1.13692,0.257773
29,1,97,9638,1,1,1,-1,1.13277,0.196563
30,1,59,5833,0,0,0.999962,0.543727,-1,-1
31,1,34,3386,1,1,0.998645,-1,1.11491,0.321487
32,1,86,8535,0,0,0.999882,0.571317,-1,-1
33,1,53,5250,0,0,1,0.6137,-1,-1
34,1,40,3950,0,0,1,0.597878,-1,-1
35,1,51,5074,1,1,0.982405,-1,1.10218,0.247184
36,1,65,6479,0,0,1,0.50507,-1,-1
37,1,70,6968,1,1,0.999683,-1,1.11984,0.189347
38,1,13,1268,1,1,0.998014,-1,1.06769,0.230123
39,1,53,5244,1,1,0.999857,-1,1.05683,0.212288
40,1,91,9019,0,0,1,0.606008,-1,-1
41,1,76,7578,1,1,0.983637,-1,1.04192,0.214625
42,1,41,4070,1,1,0.995912,-1,1.01951,0.191168
43,1,21,2011,0,0,1,0.547817,-1,-1
44,1,48,4790,0,0,0.999282,0.634971,-1,-1
45,1,12,1183,0,0,1,0.627971,-1,-1
46,1,60,5905,1,1,0.999799,-1,1.04739,0.200889
47,1,50,4903,0,0,0.999779,0.5897,-1,-1
48,1,63,6246,1,1,0.999999,-1,1.06227,0.26164
49,1,10,919,1,1,0.99999,-1,1.08323,0.29513
50,1,27,2673,0,0,0.999998,0.641783,-1,-1
51,1,40,3968,0,0,1,0.520358,-1,-1
52,1,74,7324,0,0,0.999999,0.581351,-1,-1
53,1,35,3485,1,1,0.999999,-1,1.09135,0.184118
54,1,51,5069,0,0,0.999999,0.596581,-1,-1
55,1,30,2940,0,0,1,0.606678,-1,-1
56,1,72,7189,0,0,1,0.592708,-1,-1
57,1,22,2146,0,0,1,0.570521,-1,-1
58,1,95,9465,1,1,0.999864,-1,1.08039,0.249899
59,1,94,9346,0,0,1,0.635906,-1,-1
60,1,64,6390,0,0,0.999999,0.55838,-1,-1
61,1,93,9278,1,1,0.999998,-1,1.13256,0.245985
62,1,39,3891,0,0,0.999532,0.612867,-1,-1
63,1,24,2317,1,1,0.999993,-1,1.05428,0.301913
64,1,44,4320,0,0,1,0.597558,-1,-1
65,1,55,5426,1,1,1,-1,1.1226,0.284558
66,1,81,8063,1,1,0.999868,-1,1.02781,0.157946
67,1,5,459,1,1,0.999985,-1,1.09915,0.280961
68,1,2,136,0,0,1,0.546093,-1,-1
69,1,25,2410,1,1,0.997602,-1,1.12889,0.255084
70,1,58,5711,1,1,0.998882,-1,0.996754,0.170479
71,1,57,5675,1,1,0.997122,-1,1.01098,0.199508
72,1,29,2897,0,0,0.5,0.60875,-1,-1
73,1,87,8683,1,1,0.999852,-1,1.11696,0.190527
74,1,8,780,1,1,1,-1,1.13289,0.255765
75,1,20,1988,1,1,0.969259,-1,1.01429,0.297732
76,1,68,6722,0,0,1,0.592357,-1,-1
77,1,36,3572,1,1,0.999986,-1,1.07725,0.222612
78,1,19,1841,0,0,1,0.581583,-1,-1
